DATE,YEAR,TYPE,COUNTRY,AREA,LOCATION,ACTIVITY,INJURY,FATAL (Y/N),SPECIES ,MONTH,ACTIVITY_TYPE,SPECIES
4-Jun-2017,2017.0,Unprovoked,BAHAMAS,,,feeding sharks,Fingernail pulled off ,N,,Jun,feeding sharks,unknown
-Jun-2017,2017.0,Unprovoked,AUSTRALIA,Western Australia,"Point Casuarina, Bunbury",body boarding,"No injury, board bitten",N,"White shark, 4 m",Jun,body boarding,white shark
-Jun-2017,2017.0,Unprovoked,AUSTRALIA,Victoria,"Flinders, Mornington Penisula",surfing,"No injury, knocked off board",N,Seven-gill shark,Jun,Surfing,seven-gill shark
-Jun-2017,2017.0,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",surfing,Laceration to left foot,N,,Jun,Surfing,unknown
7-Jun-2017,2017.0,Unprovoked,UNITED KINGDOM,South Devon,Bantham Beach,surfing ,"Bruise to leg, cuts to hand sustained when he hit the shark",N,"3m shark, probably a smooth hound",Jun,Surfing,"3m shark, probably a smooth hound"
4-Jun-2017,2017.0,Unprovoked,USA,Florida,"Middle Sambo Reef off Boca Chica, Monroe County",spearfishing,Laceration to shin,N,8' shark,Jun,Fishing,8' shark
2-Jun-2017,2017.0,Unprovoked,BAHAMAS,New Providence ,Athol Island,snorkeling,Right forearm severed ,N,Tiger shark,Jun,snorkeling,tiger shark
30-May-2017,2017.0,Provoked,USA,South Carolina,"Awendaw, Charleston County",touching a shark,Right hand bitten by hooked shark PROVOKED INCIDENT,N,3' shark,May,touching a shark,3' shark
28-May-2017,2017.0,Unprovoked,USA,Florida,Off Jupiter,feeding sharks,Lacerations to right arm,N,Tiger shark,May,feeding sharks,tiger shark
27-May-2017,2017.0,Invalid,AUSTRALIA,New South Wales,Evans Head,fishing ,Abrasion to right forearm from pectoral fin of a shark that leapt into his boat,N,,May,Fishing,unknown
2-May-2017,2017.0,Unprovoked,UNITED ARAB EMIRATES,"Sharjah, ",Khor Fakkan,spearfishing,Right leg severely bitten,N,,May,Fishing,unknown
